estado,total_nos_kerb,total_kerb_raised,wheelchair_no,wheelchair_ausente,wheelchair_valor_divergente,total_nao_conformes,percentual_conforme,percentual_nao_conforme
T0,0,0,0,0,0,0,,
T1,34,20,8,12,0,12,40.0,60.0
