estado,total_calcadas,extremidades_calcadas,extremidades_calcadas_conectadas_rede,percentual_extremidades_calcadas_conectadas,calcadas_2_extremidades_conectadas,calcadas_1_extremidade_conectada,calcadas_0_extremidades_conectadas,total_travessias,extremidades_travessias,extremidades_travessias_em_calcadas,percentual_extremidades_travessias_em_calcadas,travessias_2_extremidades_em_calcadas,travessias_1_extremidade_em_calcada,travessias_0_extremidades_em_calcadas,total_kerbs,kerbs_sobre_travessia,kerbs_sem_correspondencia_travessia,percentual_kerbs_sobre_travessia,total_nos_crossing,nos_crossing_sobre_travessia,nos_crossing_sem_correspondencia_travessia,percentual_nos_crossing_sobre_travessia
T0,0,0,0,,0,0,0,7,14,0,0.0,0,0,7,0,0,0,,16,8,8,50.0
T1,39,78,56,71.8,22,12,5,19,38,31,81.6,15,1,3,34,32,2,94.1,24,20,4,83.3
